"","state","year","median","se"
"1187","South Carolina","2017",57331,2167
"1188","South Carolina","2018",58485,2120
"1189","South Carolina","2019",62028,1783
"1190","South Dakota","1991",45230,1432
"1191","South Dakota","1992",47034,1198
"1192","South Dakota","1993",48459,1817
"1193","South Dakota","1994",50884,2028
"1194","South Dakota","1995",49428,2690
"1195","South Dakota","1996",48061,1633
"1196","South Dakota","1997",47312,1824
"1197","South Dakota","1998",51540,1592
"1198","South Dakota","1999",55148,1453
"1199","South Dakota","2000",54301,1023
"1200","South Dakota","2001",57425,1239
"1201","South Dakota","2002",53971,1358
"1202","South Dakota","2003",55070,1399
"1203","South Dakota","2004",55772,1350
"1204","South Dakota","2005",56627,1797
"1205","South Dakota","2006",57742,2086
"1206","South Dakota","2007",57375,1112
"1207","South Dakota","2008",61421,1184
"1208","South Dakota","2009",54738,1540
"1209","South Dakota","2010",53293,2403
"1210","South Dakota","2011",53796,2446
"1211","South Dakota","2012",55125,1902
"1212","South Dakota","2013",59859,3331
"1213","South Dakota","2014",57348,3829
"1214","South Dakota","2015",59421,2810
"1215","South Dakota","2016",61205,3276
"1216","South Dakota","2017",59337,3789
"1217","South Dakota","2018",60540,2690
"1218","South Dakota","2019",64255,3776
"1219","Tennessee","1991",44888,1680
"1220","Tennessee","1992",43557,1635
"1221","Tennessee","1993",43856,1452
"1222","Tennessee","1994",49012,1759
"1223","Tennessee","1995",48487,2119
"1224","Tennessee","1996",50119,1769
"1225","Tennessee","1997",48813,2164
"1226","Tennessee","1998",53592,2055
"1227","Tennessee","1999",56216,2016
"1228","Tennessee","2000",50760,1385
"1229","Tennessee","2001",51797,1145
"1230","Tennessee","2002",52770,1583
"1231","Tennessee","2003",52285,1646
"1232","Tennessee","2004",51654,1434
"1233","Tennessee","2005",51713,1563
"1234","Tennessee","2006",51725,960
"1235","Tennessee","2007",50919,1379
"1236","Tennessee","2008",47258,1441
"1237","Tennessee","2009",48397,1180
"1238","Tennessee","2010",45348,1477
"1239","Tennessee","2011",48164,2912
"1240","Tennessee","2012",47963,2685
"1241","Tennessee","2013",46718,3225
"1242","Tennessee","2014",47255,2514
"1243","Tennessee","2015",51074,1843
"1244","Tennessee","2016",54700,1478
"1245","Tennessee","2017",57612,2255
"1246","Tennessee","2018",57076,1468
"1247","Tennessee","2019",56627,2766
"1248","Texas","1991",50909,1149
"1249","Texas","1992",50068,1136
"1250","Texas","1993",50189,1071
"1251","Texas","1994",52633,1121
"1252","Texas","1995",53541,1059
"1253","Texas","1996",53833,1242
"1254","Texas","1997",55885,1402
"1255","Texas","1998",56252,1041
"1256","Texas","1999",59550,1570
"1257","Texas","2000",57478,1169
"1258","Texas","2001",59146,741
"1259","Texas","2002",57215,802
"1260","Texas","2003",54721,1062
"1261","Texas","2004",56166,745
"1262","Texas","2005",54358,551
"1263","Texas","2006",55048,1052
"1264","Texas","2007",56924,865
"1265","Texas","2008",55338,802
"1266","Texas","2009",56708,887
"1267","Texas","2010",55542,1362
"1268","Texas","2011",55874,1313
"1269","Texas","2012",57926,1060
"1270","Texas","2013",58291,1773
"1271","Texas","2014",58237,1453
"1272","Texas","2015",60940,1391
"1273","Texas","2016",61947,1499
"1274","Texas","2017",61841,1775
"1275","Texas","2018",60868,1397
"1276","Texas","2019",67444,1769
"1277","Utah","1991",51429,2495
"1278","Utah","1992",61349,2051
"1279","Utah","1993",62522,2170
"1280","Utah","1994",61123,1782
"1281","Utah","1995",60962,1536
"1282","Utah","1996",60289,2165
"1283","Utah","1997",68154,2844
"1284","Utah","1998",69639,2162
"1285","Utah","1999",70882,2486
"1286","Utah","2000",70789,1550
"1287","Utah","2001",68529,2317
"1288","Utah","2002",68205,1633
"1289","Utah","2003",68660,1257
"1290","Utah","2004",69020,1258
"1291","Utah","2005",71931,1710
"1292","Utah","2006",69438,2124
"1293","Utah","2007",66164,1506
"1294","Utah","2008",74439,1816
"1295","Utah","2009",69866,1897
"1296","Utah","2010",66629,2306
"1297","Utah","2011",63217,1890
"1298","Utah","2012",65083,3284
"1299","Utah","2013",69218,4548
"1300","Utah","2014",68515,3493
"1301","Utah","2015",71499,2657
"1302","Utah","2016",71892,2383
"1303","Utah","2017",74381,2347
"1304","Utah","2018",78463,2369
"1305","Utah","2019",84523,3494
"1306","Vermont","1991",53520,2243
"1307","Vermont","1992",58669,2388
"1308","Vermont","1993",54274,1670
"1309","Vermont","1994",61270,3262
"1310","Vermont","1995",56523,2076
"1311","Vermont","1996",52671,2035
"1312","Vermont","1997",55850,2752
"1313","Vermont","1998",61894,2501
"1314","Vermont","1999",64008,2166
"1315","Vermont","2000",58945,1371
"1316","Vermont","2001",59050,1366
"1317","Vermont","2002",61276,1183
"1318","Vermont","2003",60280,1361
"1319","Vermont","2004",64214,1723
"1320","Vermont","2005",66539,1718
"1321","Vermont","2006",66073,1609
"1322","Vermont","2007",58576,1728
"1323","Vermont","2008",60357,1169
"1324","Vermont","2009",62493,1718
"1325","Vermont","2010",65721,2640
"1326","Vermont","2011",59080,2286
"1327","Vermont","2012",62005,3380
"1328","Vermont","2013",60286,3277
"1329","Vermont","2014",65623,3349
"1330","Vermont","2015",64200,2829
"1331","Vermont","2016",64814,1453
"1332","Vermont","2017",66545,3268
"1333","Vermont","2018",71335,2393
"1334","Vermont","2019",74305,3084
"1335","Virginia","1991",66336,2452
"1336","Virginia","1992",68418,2434
"1337","Virginia","1993",63652,2423
"1338","Virginia","1994",64428,2620
"1339","Virginia","1995",60531,2325
"1340","Virginia","1996",63826,2375
"1341","Virginia","1997",68444,3023
"1342","Virginia","1998",68154,3451
"1343","Virginia","1999",70333,2724
"1344","Virginia","2000",70213,1585
"1345","Virginia","2001",72725,1662
"1346","Virginia","2002",70727,1838
"1347","Virginia","2003",76335,2178
"1348","Virginia","2004",69386,1514
"1349","Virginia","2005",68127,1555
"1350","Virginia","2006",72604,2024
"1351","Virginia","2007",73126,1687
"1352","Virginia","2008",73782,1722
"1353","Virginia","2009",72267,1425
"1354","Virginia","2010",70937,2309
"1355","Virginia","2011",71331,2020
"1356","Virginia","2012",72101,2416
"1357","Virginia","2013",74333,2794
"1358","Virginia","2014",71511,3185
"1359","Virginia","2015",66350,2632
"1360","Virginia","2016",70795,2595
"1361","Virginia","2017",74354,3417
"1362","Virginia","2018",78549,3142
"1363","Virginia","2019",81313,3056
"1364","Washington","1991",62358,2175
"1365","Washington","1992",60720,2234
"1366","Washington","1993",62293,1941
"1367","Washington","1994",57387,2037
"1368","Washington","1995",59438,2092
"1369","Washington","1996",59700,2617
"1370","Washington","1997",71001,2733
"1371","Washington","1998",74547,2168
"1372","Washington","1999",69994,3202
"1373","Washington","2000",63308,1803
"1374","Washington","2001",61505,1830
"1375","Washington","2002",64388,1374
"1376","Washington","2003",66198,1944
"1377","Washington","2004",67732,1449
"1378","Washington","2005",66463,1371
"1379","Washington","2006",69558,1581
"1380","Washington","2007",71790,2146
"1381","Washington","2008",67409,2406
"1382","Washington","2009",72137,1432
"1383","Washington","2010",65997,2421
"1384","Washington","2011",64763,2259
"1385","Washington","2012",69373,2509
"1386","Washington","2013",66073,2416
"1387","Washington","2014",63850,2373
"1388","Washington","2015",72562,3510
"1389","Washington","2016",74906,2229
"1390","Washington","2017",78656,3449
"1391","Washington","2018",81170,3080
"1392","Washington","2019",82454,2920
"1393","West Virginia","1991",42491,1685
"1394","West Virginia","1992",36308,1598
"1395","West Virginia","1993",39172,1714
"1396","West Virginia","1994",40327,2083
"1397","West Virginia","1995",41577,1454
"1398","West Virginia","1996",41096,2118
"1399","West Virginia","1997",43797,2095
"1400","West Virginia","1998",41979,1226
"1401","West Virginia","1999",45095,1769
"1402","West Virginia","2000",43785,960
"1403","West Virginia","2001",42952,976
"1404","West Virginia","2002",41838,996
"1405","West Virginia","2003",45652,1384
"1406","West Virginia","2004",45279,1591
"1407","West Virginia","2005",47827,1412
"1408","West Virginia","2006",48834,1543
"1409","West Virginia","2007",52026,1222
"1410","West Virginia","2008",45225,1671
"1411","West Virginia","2009",48364,1091
"1412","West Virginia","2010",50267,2959
"1413","West Virginia","2011",47642,2012
"1414","West Virginia","2012",48586,3095
"1415","West Virginia","2013",44236,2957
"1416","West Virginia","2014",42754,2373
"1417","West Virginia","2015",46212,3380
"1418","West Virginia","2016",47253,2124
"1419","West Virginia","2017",47341,1549
"1420","West Virginia","2018",51489,1361
"1421","West Virginia","2019",53706,2995
"1422","Wisconsin","1991",57151,1869
"1423","Wisconsin","1992",59660,1965
"1424","Wisconsin","1993",55498,2341
"1425","Wisconsin","1994",60562,2177
"1426","Wisconsin","1995",68440,2203
"1427","Wisconsin","1996",65112,2897
"1428","Wisconsin","1997",63087,1832
"1429","Wisconsin","1998",64967,1998
"1430","Wisconsin","1999",70293,2891
"1431","Wisconsin","2000",67124,1417
"1432","Wisconsin","2001",65639,1626
"1433","Wisconsin","2002",65414,1348
"1434","Wisconsin","2003",64472,1363
"1435","Wisconsin","2004",62047,1814
"1436","Wisconsin","2005",58594,1546
"1437","Wisconsin","2006",65706,1457
"1438","Wisconsin","2007",63381,1285
"1439","Wisconsin","2008",60945,1014
"1440","Wisconsin","2009",61202,963
"1441","Wisconsin","2010",59167,1686
"1442","Wisconsin","2011",59304,2355
"1443","Wisconsin","2012",59213,1906
"1444","Wisconsin","2013",60743,2570
"1445","Wisconsin","2014",62782,2328
"1446","Wisconsin","2015",59809,1605
"1447","Wisconsin","2016",63727,1966
"1448","Wisconsin","2017",66175,3831
"1449","Wisconsin","2018",63764,2076
"1450","Wisconsin","2019",67355,2323
"1451","Wyoming","1991",53327,2537
"1452","Wyoming","1992",54109,2543
"1453","Wyoming","1993",51438,2039
"1454","Wyoming","1994",56715,3163
"1455","Wyoming","1995",52688,1898
"1456","Wyoming","1996",50384,1397
"1457","Wyoming","1997",53253,2296
"1458","Wyoming","1998",55414,2069
"1459","Wyoming","1999",57334,1978
"1460","Wyoming","2000",58997,1572
"1461","Wyoming","2001",57494,1688
"1462","Wyoming","2002",56665,1391
"1463","Wyoming","2003",59297,1393
"1464","Wyoming","2004",61593,1555
"1465","Wyoming","2005",58684,1979
"1466","Wyoming","2006",59794,1910
"1467","Wyoming","2007",60250,1685
"1468","Wyoming","2008",63488,1877
"1469","Wyoming","2009",62674,2545
"1470","Wyoming","2010",61341,2563
"1471","Wyoming","2011",62096,2594
"1472","Wyoming","2012",64158,3146
"1473","Wyoming","2013",61229,3482
"1474","Wyoming","2014",60199,2182
"1475","Wyoming","2015",65745,2184
"1476","Wyoming","2016",61609,3326
"1477","Wyoming","2017",60320,3269
"1478","Wyoming","2018",63672,3963
"1479","Wyoming","2019",65134,3773
