Estimate Status,Year,Wave,Common Name,Total Harvest (A+B1),PSE
FINAL,2005,MAY/JUNE,RED PORGY,42234,40.9
FINAL,2005,JULY/AUGUST,RED PORGY,14014,28.8
FINAL,2005,SEPTEMBER/OCTOBER,RED PORGY,24466,50.9
FINAL,2005,NOVEMBER/DECEMBER,RED PORGY,1863,38.8
FINAL,2006,JANUARY/FEBRUARY,RED PORGY,4546,62.3
FINAL,2006,MARCH/APRIL,RED PORGY,39033,72.3
FINAL,2006,MAY/JUNE,RED PORGY,58118,41
FINAL,2006,JULY/AUGUST,RED PORGY,14543,26.4
FINAL,2006,SEPTEMBER/OCTOBER,RED PORGY,25384,44.1
FINAL,2006,NOVEMBER/DECEMBER,RED PORGY,10302,54
FINAL,2007,JANUARY/FEBRUARY,RED PORGY,6359,41.1
FINAL,2007,MARCH/APRIL,RED PORGY,99790,64.2
FINAL,2007,MAY/JUNE,RED PORGY,40308,27.3
FINAL,2007,JULY/AUGUST,RED PORGY,94848,71.6
FINAL,2007,SEPTEMBER/OCTOBER,RED PORGY,40457,75.7
FINAL,2007,NOVEMBER/DECEMBER,RED PORGY,1410,62.3
FINAL,2008,JANUARY/FEBRUARY,RED PORGY,8157,33.2
FINAL,2008,MARCH/APRIL,RED PORGY,116842,73.7
FINAL,2008,MAY/JUNE,RED PORGY,37882,23.7
FINAL,2008,JULY/AUGUST,RED PORGY,18527,33.8
FINAL,2008,SEPTEMBER/OCTOBER,RED PORGY,7475,33.5
FINAL,2008,NOVEMBER/DECEMBER,RED PORGY,13974,73.6
FINAL,2009,JANUARY/FEBRUARY,RED PORGY,5290,30.5
FINAL,2009,MARCH/APRIL,RED PORGY,14815,36.7
FINAL,2009,MAY/JUNE,RED PORGY,29482,28.3
FINAL,2009,JULY/AUGUST,RED PORGY,27899,44.7
FINAL,2009,SEPTEMBER/OCTOBER,RED PORGY,17090,29.5
FINAL,2009,NOVEMBER/DECEMBER,RED PORGY,364,68.1
FINAL,2010,JANUARY/FEBRUARY,RED PORGY,5360,59.9
FINAL,2010,MARCH/APRIL,RED PORGY,37243,21.9
FINAL,2010,MAY/JUNE,RED PORGY,42012,40.4
FINAL,2010,JULY/AUGUST,RED PORGY,17252,27.2
FINAL,2010,SEPTEMBER/OCTOBER,RED PORGY,50836,44.6
FINAL,2010,NOVEMBER/DECEMBER,RED PORGY,146662,66.9
FINAL,2011,JANUARY/FEBRUARY,RED PORGY,3620,26.8
FINAL,2011,MARCH/APRIL,RED PORGY,47428,24.2
FINAL,2011,MAY/JUNE,RED PORGY,134015,37.2
FINAL,2011,JULY/AUGUST,RED PORGY,118548,24.6
FINAL,2011,SEPTEMBER/OCTOBER,RED PORGY,63536,65.3
FINAL,2011,NOVEMBER/DECEMBER,RED PORGY,19976,46.9
FINAL,2012,JANUARY/FEBRUARY,RED PORGY,14280,65.8
FINAL,2012,MARCH/APRIL,RED PORGY,92036,38.7
FINAL,2012,MAY/JUNE,RED PORGY,93723,31.1
FINAL,2012,JULY/AUGUST,RED PORGY,100537,20.7
FINAL,2012,SEPTEMBER/OCTOBER,RED PORGY,43357,27.7
FINAL,2012,NOVEMBER/DECEMBER,RED PORGY,52810,67.4
FINAL,2013,JANUARY/FEBRUARY,RED PORGY,29470,74.6
FINAL,2013,MARCH/APRIL,RED PORGY,47424,17.9
FINAL,2013,MAY/JUNE,RED PORGY,225134,44.1
FINAL,2013,JULY/AUGUST,RED PORGY,204261,16.4
FINAL,2013,SEPTEMBER/OCTOBER,RED PORGY,155773,33.3
FINAL,2013,NOVEMBER/DECEMBER,RED PORGY,17915,46.6
FINAL,2014,JANUARY/FEBRUARY,RED PORGY,22331,95.8
FINAL,2014,MARCH/APRIL,RED PORGY,74623,67.4
FINAL,2014,MAY/JUNE,RED PORGY,207777,20
FINAL,2014,JULY/AUGUST,RED PORGY,272562,31.1
FINAL,2014,SEPTEMBER/OCTOBER,RED PORGY,18740,35.7
FINAL,2014,NOVEMBER/DECEMBER,RED PORGY,1147,45.5
FINAL,2015,JANUARY/FEBRUARY,RED PORGY,634,57.9
FINAL,2015,MARCH/APRIL,RED PORGY,57154,40.4
FINAL,2015,MAY/JUNE,RED PORGY,225682,37.5
FINAL,2015,JULY/AUGUST,RED PORGY,195608,27.6
FINAL,2015,SEPTEMBER/OCTOBER,RED PORGY,77667,25.1
FINAL,2015,NOVEMBER/DECEMBER,RED PORGY,11896,47
FINAL,2016,JANUARY/FEBRUARY,RED PORGY,26000,49.6
FINAL,2016,MARCH/APRIL,RED PORGY,83451,49.4
FINAL,2016,MAY/JUNE,RED PORGY,170739,26.7
FINAL,2016,JULY/AUGUST,RED PORGY,211602,25.6
FINAL,2016,SEPTEMBER/OCTOBER,RED PORGY,66964,39.2
FINAL,2016,NOVEMBER/DECEMBER,RED PORGY,112112,56.7
FINAL,2017,JANUARY/FEBRUARY,RED PORGY,45026,75
FINAL,2017,MARCH/APRIL,RED PORGY,33041,60.4
FINAL,2017,MAY/JUNE,RED PORGY,133421,21.3
FINAL,2017,JULY/AUGUST,RED PORGY,98890,30.1
FINAL,2017,SEPTEMBER/OCTOBER,RED PORGY,89330,42.1
FINAL,2017,NOVEMBER/DECEMBER,RED PORGY,7943,40.3
FINAL,2018,JANUARY/FEBRUARY,RED PORGY,4201,52.7
FINAL,2018,MARCH/APRIL,RED PORGY,29340,23.6
FINAL,2018,MAY/JUNE,RED PORGY,84424,46.3
FINAL,2018,JULY/AUGUST,RED PORGY,280525,55.5
FINAL,2018,SEPTEMBER/OCTOBER,RED PORGY,9620,46
FINAL,2018,NOVEMBER/DECEMBER,RED PORGY,3814,83.8
FINAL,2019,JANUARY/FEBRUARY,RED PORGY,582,55
FINAL,2019,MARCH/APRIL,RED PORGY,50800,21.6
FINAL,2019,MAY/JUNE,RED PORGY,41072,32
FINAL,2019,JULY/AUGUST,RED PORGY,90390,34.9
FINAL,2019,SEPTEMBER/OCTOBER,RED PORGY,17993,29.5
FINAL,2019,NOVEMBER/DECEMBER,RED PORGY,9629,42.7
PRELIMINARY,2020,JANUARY/FEBRUARY,RED PORGY,6672,74.9
