Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,940256,50.6
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,14307,58.6
FINAL,1991,MARCH/APRIL,VIRGINIA,BLUEFISH,66546,97.9
FINAL,1991,MAY/JUNE,CONNECTICUT,BLUEFISH,69044,32.5
FINAL,1991,MAY/JUNE,DELAWARE,BLUEFISH,39714,43.6
FINAL,1991,MAY/JUNE,FLORIDA,BLUEFISH,59683,61.7
FINAL,1991,MAY/JUNE,GEORGIA,BLUEFISH,27357,22.3
FINAL,1991,MAY/JUNE,MAINE,BLUEFISH,41325,97
FINAL,1991,MAY/JUNE,MARYLAND,BLUEFISH,140938,38.1
FINAL,1991,MAY/JUNE,MASSACHUSETTS,BLUEFISH,310661,42.4
FINAL,1991,MAY/JUNE,NEW HAMPSHIRE,BLUEFISH,1098,107
FINAL,1991,MAY/JUNE,NEW JERSEY,BLUEFISH,889646,27.2
FINAL,1991,MAY/JUNE,NEW YORK,BLUEFISH,885027,21.6
FINAL,1991,MAY/JUNE,NORTH CAROLINA,BLUEFISH,388845,17.6
FINAL,1991,MAY/JUNE,RHODE ISLAND,BLUEFISH,44579,29.3
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,BLUEFISH,51615,61.3
FINAL,1991,MAY/JUNE,VIRGINIA,BLUEFISH,303360,39.2
FINAL,1991,JULY/AUGUST,CONNECTICUT,BLUEFISH,3743048,39.1
FINAL,1991,JULY/AUGUST,DELAWARE,BLUEFISH,61934,29.1
FINAL,1991,JULY/AUGUST,FLORIDA,BLUEFISH,72511,89.7
FINAL,1991,JULY/AUGUST,GEORGIA,BLUEFISH,1680,80.9
FINAL,1991,JULY/AUGUST,MAINE,BLUEFISH,101858,39.2
FINAL,1991,JULY/AUGUST,MARYLAND,BLUEFISH,506646,29.8
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,BLUEFISH,1132088,21.3
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,BLUEFISH,20513,44.8
FINAL,1991,JULY/AUGUST,NEW JERSEY,BLUEFISH,2039555,28.8
FINAL,1991,JULY/AUGUST,NEW YORK,BLUEFISH,4739419,18.2
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,BLUEFISH,164221,17.5
FINAL,1991,JULY/AUGUST,RHODE ISLAND,BLUEFISH,268813,45
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,BLUEFISH,11424,80.5
FINAL,1991,JULY/AUGUST,VIRGINIA,BLUEFISH,252410,54.4
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,BLUEFISH,700445,22.7
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,BLUEFISH,134229,25.8
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,1029485,46.1
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,BLUEFISH,2591,107.8
FINAL,1991,SEPTEMBER/OCTOBER,MAINE,BLUEFISH,1562,68.2
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,BLUEFISH,415276,28
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLUEFISH,359150,20.4
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,BLUEFISH,14337,41.8
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,BLUEFISH,1024195,18.4
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,BLUEFISH,2639760,26.1
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLUEFISH,562416,21.5
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,BLUEFISH,478275,24.2
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLUEFISH,26505,59.9
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,BLUEFISH,285527,47.4
FINAL,1991,NOVEMBER/DECEMBER,CONNECTICUT,BLUEFISH,45612,63.8
FINAL,1991,NOVEMBER/DECEMBER,DELAWARE,BLUEFISH,3320,97.4
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,186748,39.5
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,BLUEFISH,3760,68.8
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,BLUEFISH,59315,86.2
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,BLUEFISH,1117,98.5
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,BLUEFISH,318623,29.3
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,BLUEFISH,181147,33
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,BLUEFISH,254805,32.6
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,BLUEFISH,11248,60
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLUEFISH,13048,111.9
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,BLUEFISH,4258,61.6
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,5281578,67
FINAL,1992,MARCH/APRIL,FLORIDA,BLUEFISH,688338,36.6
FINAL,1992,MARCH/APRIL,GEORGIA,BLUEFISH,4059,44.8
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,202196,48.1
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,722,97.1
FINAL,1992,MARCH/APRIL,VIRGINIA,BLUEFISH,11646,74.2
FINAL,1992,MAY/JUNE,CONNECTICUT,BLUEFISH,203199,44.9
FINAL,1992,MAY/JUNE,DELAWARE,BLUEFISH,121829,38.8
FINAL,1992,MAY/JUNE,FLORIDA,BLUEFISH,279902,58.1
FINAL,1992,MAY/JUNE,GEORGIA,BLUEFISH,11433,75.6
FINAL,1992,MAY/JUNE,MAINE,BLUEFISH,19748,129.4
FINAL,1992,MAY/JUNE,MARYLAND,BLUEFISH,71044,36.4
FINAL,1992,MAY/JUNE,MASSACHUSETTS,BLUEFISH,219640,35.5
FINAL,1992,MAY/JUNE,NEW JERSEY,BLUEFISH,1324715,25
FINAL,1992,MAY/JUNE,NEW YORK,BLUEFISH,611238,19.7
FINAL,1992,MAY/JUNE,NORTH CAROLINA,BLUEFISH,264225,25.4
FINAL,1992,MAY/JUNE,RHODE ISLAND,BLUEFISH,54590,23.6
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,BLUEFISH,29015,54.4
FINAL,1992,MAY/JUNE,VIRGINIA,BLUEFISH,105759,29.9
FINAL,1992,JULY/AUGUST,CONNECTICUT,BLUEFISH,2346964,52.4
FINAL,1992,JULY/AUGUST,DELAWARE,BLUEFISH,132989,31.1
FINAL,1992,JULY/AUGUST,FLORIDA,BLUEFISH,44434,67
FINAL,1992,JULY/AUGUST,GEORGIA,BLUEFISH,2212,60.1
FINAL,1992,JULY/AUGUST,MAINE,BLUEFISH,60460,29.1
FINAL,1992,JULY/AUGUST,MARYLAND,BLUEFISH,371671,27.8
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,BLUEFISH,238032,18.7
FINAL,1992,JULY/AUGUST,NEW HAMPSHIRE,BLUEFISH,16972,48.4
FINAL,1992,JULY/AUGUST,NEW JERSEY,BLUEFISH,910557,30.6
FINAL,1992,JULY/AUGUST,NEW YORK,BLUEFISH,678681,13.4
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,BLUEFISH,313247,60.9
FINAL,1992,JULY/AUGUST,RHODE ISLAND,BLUEFISH,231309,33.9
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,BLUEFISH,3781,46.1
FINAL,1992,JULY/AUGUST,VIRGINIA,BLUEFISH,195573,44.5
FINAL,1992,SEPTEMBER/OCTOBER,CONNECTICUT,BLUEFISH,465574,29.9
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,BLUEFISH,101531,19.1
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,111916,48.9
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,BLUEFISH,669,92.3
FINAL,1992,SEPTEMBER/OCTOBER,MAINE,BLUEFISH,1211,105.5
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,BLUEFISH,107199,29.6
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLUEFISH,120257,22.9
FINAL,1992,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,BLUEFISH,904,115.7
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,BLUEFISH,1091583,18.1
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,BLUEFISH,708071,15.2
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLUEFISH,476224,20.4
FINAL,1992,SEPTEMBER/OCTOBER,RHODE ISLAND,BLUEFISH,243144,19.1
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLUEFISH,6917,61.3
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,BLUEFISH,20004,33.2
FINAL,1992,NOVEMBER/DECEMBER,CONNECTICUT,BLUEFISH,17384,57.1
FINAL,1992,NOVEMBER/DECEMBER,DELAWARE,BLUEFISH,44858,45.1
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,955246,56.9
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,BLUEFISH,0,.
FINAL,1992,NOVEMBER/DECEMBER,MARYLAND,BLUEFISH,24597,70
FINAL,1992,NOVEMBER/DECEMBER,NEW JERSEY,BLUEFISH,86234,59.1
FINAL,1992,NOVEMBER/DECEMBER,NEW YORK,BLUEFISH,196560,32.7
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,BLUEFISH,306861,26.1
FINAL,1992,NOVEMBER/DECEMBER,RHODE ISLAND,BLUEFISH,14453,65.3
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLUEFISH,26618,51
FINAL,1992,NOVEMBER/DECEMBER,VIRGINIA,BLUEFISH,806,87.6
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,3243541,38.2
FINAL,1993,MARCH/APRIL,FLORIDA,BLUEFISH,1020108,21.8
FINAL,1993,MARCH/APRIL,GEORGIA,BLUEFISH,1375,97.7
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,441736,39.8
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,3619,105
FINAL,1993,MARCH/APRIL,VIRGINIA,BLUEFISH,909,77.4
FINAL,1993,MAY/JUNE,CONNECTICUT,BLUEFISH,201943,40.9
FINAL,1993,MAY/JUNE,DELAWARE,BLUEFISH,75139,66.7
FINAL,1993,MAY/JUNE,FLORIDA,BLUEFISH,50372,40.2
FINAL,1993,MAY/JUNE,GEORGIA,BLUEFISH,2245,90.5
FINAL,1993,MAY/JUNE,MARYLAND,BLUEFISH,59463,90.3
FINAL,1993,MAY/JUNE,MASSACHUSETTS,BLUEFISH,354806,26.2
FINAL,1993,MAY/JUNE,NEW JERSEY,BLUEFISH,474402,24.3
FINAL,1993,MAY/JUNE,NEW YORK,BLUEFISH,370984,24
FINAL,1993,MAY/JUNE,NORTH CAROLINA,BLUEFISH,386017,23.9
FINAL,1993,MAY/JUNE,RHODE ISLAND,BLUEFISH,131571,44.1
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,BLUEFISH,82836,36.4
FINAL,1993,MAY/JUNE,VIRGINIA,BLUEFISH,40927,43
FINAL,1993,JULY/AUGUST,CONNECTICUT,BLUEFISH,778956,21.3
FINAL,1993,JULY/AUGUST,DELAWARE,BLUEFISH,43493,42
FINAL,1993,JULY/AUGUST,FLORIDA,BLUEFISH,24912,60.4
FINAL,1993,JULY/AUGUST,GEORGIA,BLUEFISH,2274,87.8
FINAL,1993,JULY/AUGUST,MAINE,BLUEFISH,35594,46.6
FINAL,1993,JULY/AUGUST,MARYLAND,BLUEFISH,58511,61
FINAL,1993,JULY/AUGUST,MASSACHUSETTS,BLUEFISH,330544,17.5
FINAL,1993,JULY/AUGUST,NEW HAMPSHIRE,BLUEFISH,25724,49.1
FINAL,1993,JULY/AUGUST,NEW JERSEY,BLUEFISH,536460,32
FINAL,1993,JULY/AUGUST,NEW YORK,BLUEFISH,1269273,16.5
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,BLUEFISH,247515,23.5
FINAL,1993,JULY/AUGUST,RHODE ISLAND,BLUEFISH,155781,40.8
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,BLUEFISH,27548,75
FINAL,1993,JULY/AUGUST,VIRGINIA,BLUEFISH,45724,36.7
FINAL,1993,SEPTEMBER/OCTOBER,CONNECTICUT,BLUEFISH,220838,30.7
FINAL,1993,SEPTEMBER/OCTOBER,DELAWARE,BLUEFISH,81702,32
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,299107,47.5
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,BLUEFISH,5804,66
FINAL,1993,SEPTEMBER/OCTOBER,MAINE,BLUEFISH,2114,71.8
FINAL,1993,SEPTEMBER/OCTOBER,MARYLAND,BLUEFISH,81741,37.5
FINAL,1993,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLUEFISH,184551,27.6
FINAL,1993,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,BLUEFISH,6539,52.7
FINAL,1993,SEPTEMBER/OCTOBER,NEW JERSEY,BLUEFISH,316207,32.5
FINAL,1993,SEPTEMBER/OCTOBER,NEW YORK,BLUEFISH,975331,16.5
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLUEFISH,410386,22.4
FINAL,1993,SEPTEMBER/OCTOBER,RHODE ISLAND,BLUEFISH,83786,24.9
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLUEFISH,94445,33.1
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,BLUEFISH,12637,77.4
FINAL,1993,NOVEMBER/DECEMBER,CONNECTICUT,BLUEFISH,25560,44.8
FINAL,1993,NOVEMBER/DECEMBER,DELAWARE,BLUEFISH,32845,40.7
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,1728257,31.5
FINAL,1993,NOVEMBER/DECEMBER,GEORGIA,BLUEFISH,0,.
FINAL,1993,NOVEMBER/DECEMBER,NEW JERSEY,BLUEFISH,303,100.9
FINAL,1993,NOVEMBER/DECEMBER,NEW YORK,BLUEFISH,94869,25.6
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,BLUEFISH,134530,38.5
FINAL,1993,NOVEMBER/DECEMBER,RHODE ISLAND,BLUEFISH,19418,85.5
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLUEFISH,13502,91.7
FINAL,1993,NOVEMBER/DECEMBER,VIRGINIA,BLUEFISH,20687,53.7
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,1133269,37.2
FINAL,1994,MARCH/APRIL,DELAWARE,BLUEFISH,16311,103.6
FINAL,1994,MARCH/APRIL,FLORIDA,BLUEFISH,966147,25
FINAL,1994,MARCH/APRIL,GEORGIA,BLUEFISH,3613,105.7
FINAL,1994,MARCH/APRIL,MARYLAND,BLUEFISH,2067,97.7
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,126003,36.5
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,51832,80.4
FINAL,1994,MARCH/APRIL,VIRGINIA,BLUEFISH,1342,106
FINAL,1994,MAY/JUNE,CONNECTICUT,BLUEFISH,41811,55.5
FINAL,1994,MAY/JUNE,DELAWARE,BLUEFISH,20526,51.4
FINAL,1994,MAY/JUNE,FLORIDA,BLUEFISH,47475,45.1
FINAL,1994,MAY/JUNE,GEORGIA,BLUEFISH,0,.
FINAL,1994,MAY/JUNE,MAINE,BLUEFISH,0,.
FINAL,1994,MAY/JUNE,MARYLAND,BLUEFISH,44851,57.9
FINAL,1994,MAY/JUNE,MASSACHUSETTS,BLUEFISH,199468,44.5
FINAL,1994,MAY/JUNE,NEW JERSEY,BLUEFISH,548135,31.9
FINAL,1994,MAY/JUNE,NEW YORK,BLUEFISH,341974,26.5
FINAL,1994,MAY/JUNE,NORTH CAROLINA,BLUEFISH,185702,21.9
