Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1995,JULY/AUGUST,GEORGIA,RED SNAPPER,156,35.1,0
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,1834,78.6,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,4648,99.3,0
FINAL,1995,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,2409,99.4,0
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,7431,95.2,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,0,.,0
FINAL,1995,NOVEMBER/DECEMBER,GEORGIA,RED SNAPPER,2840,95.5,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,91725,70.3,0
FINAL,1996,MARCH/APRIL,FLORIDA,RED SNAPPER,2509,99.6,0
FINAL,1996,MARCH/APRIL,GEORGIA,RED SNAPPER,0,.,0
FINAL,1996,MAY/JUNE,GEORGIA,RED SNAPPER,400,89.9,0
FINAL,1996,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,359,100,0
FINAL,1996,MAY/JUNE,SOUTH CAROLINA,RED SNAPPER,98,100.2,0
FINAL,1996,JULY/AUGUST,FLORIDA,RED SNAPPER,11636,100.1,0
FINAL,1996,JULY/AUGUST,GEORGIA,RED SNAPPER,5982,87.3,0
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,316,71.5,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,4413,98.8,0
FINAL,1996,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,1192,87.8,0
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,0,.,0
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED SNAPPER,62,94.5,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,6189,99.4,0
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,6340,100,0
FINAL,1997,MARCH/APRIL,FLORIDA,RED SNAPPER,0,.,0
FINAL,1997,MAY/JUNE,FLORIDA,RED SNAPPER,0,.,0
FINAL,1997,MAY/JUNE,GEORGIA,RED SNAPPER,176,100,0
FINAL,1997,JULY/AUGUST,FLORIDA,RED SNAPPER,75989,75.8,0
FINAL,1997,JULY/AUGUST,GEORGIA,RED SNAPPER,36,98.3,0
FINAL,1997,JULY/AUGUST,SOUTH CAROLINA,RED SNAPPER,2187,95.6,0
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,14091,97.1,0
FINAL,1997,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED SNAPPER,932,91.3,0
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,0,.,0
FINAL,1998,MARCH/APRIL,FLORIDA,RED SNAPPER,6519,98.7,0
FINAL,1998,MARCH/APRIL,GEORGIA,RED SNAPPER,80769,89.8,0
FINAL,1998,MARCH/APRIL,SOUTH CAROLINA,RED SNAPPER,54,95.4,0
FINAL,1998,MAY/JUNE,FLORIDA,RED SNAPPER,39691,56.9,0
FINAL,1998,MAY/JUNE,GEORGIA,RED SNAPPER,216,90.1,0
FINAL,1998,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,1620,102,0
FINAL,1998,MAY/JUNE,SOUTH CAROLINA,RED SNAPPER,1953,77.3,0
FINAL,1998,JULY/AUGUST,FLORIDA,RED SNAPPER,2881,99.4,0
FINAL,1998,JULY/AUGUST,GEORGIA,RED SNAPPER,5351,98.7,0
FINAL,1998,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,420,88.7,0
FINAL,1998,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,0,.,0
FINAL,1998,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED SNAPPER,160,99.2,0
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,19038,71.6,0
