Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1992,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,148202,18.1
FINAL,1992,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,86833,46.6
FINAL,1992,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,24311,59.3
FINAL,1992,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,178810,27.9
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,43162,39
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,49094,35.2
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,13665,53.3
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,143981,18.9
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,49963,34.5
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,15798,60.9
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,6928,59
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,146076,44.8
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,33638,37.1
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,2584,90.9
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,49882,60.1
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,26448,95.4
FINAL,1993,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,5811,59
FINAL,1993,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,14594,64.6
FINAL,1993,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,81730,35.3
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,31871,49.8
FINAL,1993,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,130493,60.2
FINAL,1993,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,4535,69.9
FINAL,1993,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,133010,20.7
FINAL,1993,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,52020,33.1
FINAL,1993,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,144464,55
FINAL,1993,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,3742,71.1
FINAL,1993,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,81261,28.2
FINAL,1993,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,52774,63.4
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,23121,49.1
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,14592,61.2
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,167924,30
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,7480,43.7
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,5965,45.4
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,336029,90
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,142751,36.8
FINAL,1993,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,18883,52.3
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,110805,51.6
FINAL,1994,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,5526,51.4
FINAL,1994,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,9471,71.8
FINAL,1994,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,211114,51.3
FINAL,1994,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,14307,46.4
FINAL,1994,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,94024,69.9
FINAL,1994,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,1098,98.9
FINAL,1994,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,164730,24.9
FINAL,1994,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,120633,46.6
FINAL,1994,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,60737,37.1
FINAL,1994,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,5557,51.7
FINAL,1994,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,157688,23.8
FINAL,1994,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,29384,43.5
FINAL,1994,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,15884,57.1
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,1790,101.5
FINAL,1994,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,103616,20.5
FINAL,1994,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,46362,30
FINAL,1994,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,15387,87.2
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,17804,62.3
FINAL,1994,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,78636,20.2
FINAL,1994,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,29282,22.7
FINAL,1995,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,8237,94.3
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,0,.
FINAL,1995,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,39508,24.7
FINAL,1995,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,18508,35.7
FINAL,1995,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,24545,48
FINAL,1995,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,1169,100.9
FINAL,1995,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,54072,38.1
FINAL,1995,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,18555,62
FINAL,1995,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,87370,36.3
FINAL,1995,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,30335,64.9
FINAL,1995,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,147752,28.5
FINAL,1995,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,342327,24.7
FINAL,1995,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,23519,67.5
FINAL,1995,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,6847,61.5
FINAL,1995,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,37721,26.4
FINAL,1995,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,88255,36.9
