species,year,season,harvest.n
GREATER AMBERJACK,2016,1,24
GREATER AMBERJACK,2016,2,0
GREATER AMBERJACK,2017,1,32
GREATER AMBERJACK,2017,2,179
GREATER AMBERJACK,2018,1,214
GREATER AMBERJACK,2018,2,0
GREATER AMBERJACK,2019,1,306
GREATER AMBERJACK,2019,2,0
KING MACKEREL,1983,1,42974
KING MACKEREL,1984,1,38898
KING MACKEREL,1984,2,0
KING MACKEREL,1985,1,30416
KING MACKEREL,1985,2,29
KING MACKEREL,1986,1,17545
KING MACKEREL,1986,2,0
KING MACKEREL,1987,1,18598
KING MACKEREL,1987,2,12
KING MACKEREL,1988,1,15301
KING MACKEREL,1988,2,81
KING MACKEREL,1989,1,9816
KING MACKEREL,1989,2,467
KING MACKEREL,1990,1,13976
KING MACKEREL,1990,2,0
KING MACKEREL,1991,1,21930
KING MACKEREL,1991,2,128
KING MACKEREL,1992,1,20166
KING MACKEREL,1992,2,179
KING MACKEREL,1993,1,15055
KING MACKEREL,1993,2,0
KING MACKEREL,1994,1,18373
KING MACKEREL,1994,2,363
KING MACKEREL,1995,1,30064
KING MACKEREL,1995,2,25
KING MACKEREL,1996,1,36279
KING MACKEREL,1996,2,0
KING MACKEREL,1997,1,34850
KING MACKEREL,1997,2,112
KING MACKEREL,1998,1,28829
KING MACKEREL,1998,2,276
KING MACKEREL,1999,1,31621
KING MACKEREL,1999,2,151
KING MACKEREL,2000,1,18383
KING MACKEREL,2000,2,155
KING MACKEREL,2001,1,14616
KING MACKEREL,2001,2,0
KING MACKEREL,2002,1,15560
KING MACKEREL,2002,2,0
KING MACKEREL,2003,1,18548
KING MACKEREL,2003,2,0
KING MACKEREL,2004,1,14778
KING MACKEREL,2004,2,164
KING MACKEREL,2005,1,14307
KING MACKEREL,2005,2,0
KING MACKEREL,2006,1,28095
KING MACKEREL,2006,2,426
KING MACKEREL,2007,1,10664
KING MACKEREL,2007,2,138
KING MACKEREL,2008,1,8261
KING MACKEREL,2008,2,0
KING MACKEREL,2009,1,15891
KING MACKEREL,2009,2,28
KING MACKEREL,2010,1,6318
KING MACKEREL,2010,2,95
KING MACKEREL,2011,1,9424
KING MACKEREL,2011,2,0
KING MACKEREL,2012,1,8449
KING MACKEREL,2012,2,638
KING MACKEREL,2013,1,9826
KING MACKEREL,2013,2,240
KING MACKEREL,2014,1,13250
KING MACKEREL,2014,2,0
KING MACKEREL,2015,1,8553
KING MACKEREL,2015,2,0
KING MACKEREL,2016,1,11454
KING MACKEREL,2016,2,47
KING MACKEREL,2017,1,15057
KING MACKEREL,2017,2,215
KING MACKEREL,2018,1,23835
KING MACKEREL,2018,2,446
KING MACKEREL,2019,1,16965
KING MACKEREL,2019,2,655
RED DRUM,1983,1,146301
RED DRUM,1984,1,54926
RED DRUM,1984,2,33207
RED DRUM,1985,1,125279
RED DRUM,1985,2,41230
RED DRUM,1986,1,135174
RED DRUM,1986,2,42525
RED DRUM,1987,1,155071
RED DRUM,1987,2,59329
RED DRUM,1988,1,123589
RED DRUM,1988,2,50766
RED DRUM,1989,1,115596
RED DRUM,1989,2,43058
RED DRUM,1990,1,96585
RED DRUM,1990,2,32686
RED DRUM,1991,1,85103
RED DRUM,1991,2,19067
RED DRUM,1992,1,122968
RED DRUM,1992,2,42853
RED DRUM,1993,1,208415
RED DRUM,1993,2,71013
RED DRUM,1994,1,186355
RED DRUM,1994,2,79245
RED DRUM,1995,1,149892
RED DRUM,1995,2,84130
RED DRUM,1996,1,153544
RED DRUM,1996,2,75517
RED DRUM,1997,1,168681
RED DRUM,1997,2,43604
RED DRUM,1998,1,160040
RED DRUM,1998,2,62792
RED DRUM,1999,1,189832
RED DRUM,1999,2,90901
RED DRUM,2000,1,187609
RED DRUM,2000,2,97302
RED DRUM,2001,1,182158
RED DRUM,2001,2,61459
RED DRUM,2002,1,174665
RED DRUM,2002,2,58832
RED DRUM,2003,1,193298
RED DRUM,2003,2,76466
RED DRUM,2004,1,181783
RED DRUM,2004,2,91522
RED DRUM,2005,1,149365
RED DRUM,2005,2,81155
RED DRUM,2006,1,189536
RED DRUM,2006,2,128876
RED DRUM,2007,1,223738
RED DRUM,2007,2,65342
RED DRUM,2008,1,170664
RED DRUM,2008,2,95344
RED DRUM,2009,1,192627
RED DRUM,2009,2,92169
RED DRUM,2010,1,205991
RED DRUM,2010,2,58319
RED DRUM,2011,1,234581
RED DRUM,2011,2,112871
RED DRUM,2012,1,186603
RED DRUM,2012,2,136741
RED DRUM,2013,1,179426
RED DRUM,2013,2,89407
RED DRUM,2014,1,182255
RED DRUM,2014,2,64828
RED DRUM,2015,1,167793
RED DRUM,2015,2,73300
RED DRUM,2016,1,195875
RED DRUM,2016,2,92186
RED DRUM,2017,1,181359
RED DRUM,2017,2,118870
RED DRUM,2018,1,191823
RED DRUM,2018,2,84663
RED DRUM,2019,1,219286
RED DRUM,2019,2,84897
RED SNAPPER,1983,1,65763
RED SNAPPER,1984,1,27657
RED SNAPPER,1984,2,8425
RED SNAPPER,1985,1,20950
RED SNAPPER,1985,2,3983
RED SNAPPER,1986,1,17371
RED SNAPPER,1986,2,176537
RED SNAPPER,1987,1,36819
RED SNAPPER,1987,2,20288
RED SNAPPER,1988,1,43590
RED SNAPPER,1988,2,15073
RED SNAPPER,1989,1,22446
RED SNAPPER,1989,2,1800
RED SNAPPER,1990,1,24026
RED SNAPPER,1990,2,157
RED SNAPPER,1991,1,36899
RED SNAPPER,1991,2,3628
RED SNAPPER,1992,1,33777
RED SNAPPER,1992,2,2201
RED SNAPPER,1993,1,41849
RED SNAPPER,1993,2,3335
RED SNAPPER,1994,1,77644
RED SNAPPER,1994,2,8975
RED SNAPPER,1995,1,79534
RED SNAPPER,1995,2,16357
RED SNAPPER,1996,1,71612
RED SNAPPER,1996,2,6519
RED SNAPPER,1997,1,62843
RED SNAPPER,1997,2,25754
RED SNAPPER,1998,1,50116
RED SNAPPER,1998,2,18437
RED SNAPPER,1999,1,30738
RED SNAPPER,1999,2,23304
