Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1998,MARCH/APRIL,FLORIDA,RED DRUM,141110,24.6
FINAL,1998,MARCH/APRIL,LOUISIANA,RED DRUM,462546,22.8
FINAL,1998,MARCH/APRIL,MISSISSIPPI,RED DRUM,16424,61.5
FINAL,1998,MAY/JUNE,ALABAMA,RED DRUM,59778,46.2
FINAL,1998,MAY/JUNE,FLORIDA,RED DRUM,99895,19.3
FINAL,1998,MAY/JUNE,LOUISIANA,RED DRUM,609079,17.8
FINAL,1998,MAY/JUNE,MISSISSIPPI,RED DRUM,18808,30.6
FINAL,1998,JULY/AUGUST,ALABAMA,RED DRUM,13596,37.3
FINAL,1998,JULY/AUGUST,FLORIDA,RED DRUM,83326,17.4
FINAL,1998,JULY/AUGUST,LOUISIANA,RED DRUM,377036,18.9
FINAL,1998,JULY/AUGUST,MISSISSIPPI,RED DRUM,20780,27.4
FINAL,1998,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,68562,34.3
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,130379,19
FINAL,1998,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,736456,14
FINAL,1998,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,74196,25.6
FINAL,1998,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,55193,27.8
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,133477,16.3
FINAL,1998,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,604867,15.5
FINAL,1998,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,24078,31.3
FINAL,1999,JANUARY/FEBRUARY,ALABAMA,RED DRUM,20105,35.5
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED DRUM,90085,19.5
FINAL,1999,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,384167,22
FINAL,1999,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,10515,40.2
FINAL,1999,MARCH/APRIL,ALABAMA,RED DRUM,21960,42.1
FINAL,1999,MARCH/APRIL,FLORIDA,RED DRUM,137360,27.2
FINAL,1999,MARCH/APRIL,LOUISIANA,RED DRUM,620086,14.5
FINAL,1999,MARCH/APRIL,MISSISSIPPI,RED DRUM,12438,33.9
FINAL,1999,MAY/JUNE,ALABAMA,RED DRUM,34098,36.8
FINAL,1999,MAY/JUNE,FLORIDA,RED DRUM,79363,20.4
FINAL,1999,MAY/JUNE,LOUISIANA,RED DRUM,805250,17.7
FINAL,1999,MAY/JUNE,MISSISSIPPI,RED DRUM,80069,52.5
FINAL,1999,JULY/AUGUST,ALABAMA,RED DRUM,13158,69
FINAL,1999,JULY/AUGUST,FLORIDA,RED DRUM,56226,21
FINAL,1999,JULY/AUGUST,LOUISIANA,RED DRUM,602803,13.7
FINAL,1999,JULY/AUGUST,MISSISSIPPI,RED DRUM,16739,47.7
FINAL,1999,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,46744,39
FINAL,1999,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,174150,16.2
FINAL,1999,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,1013636,12.6
FINAL,1999,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,17961,40.1
FINAL,1999,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,85154,68
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,132775,28.8
FINAL,1999,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,742284,16.9
FINAL,1999,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,28231,55.6
FINAL,2000,JANUARY/FEBRUARY,ALABAMA,RED DRUM,24787,73.7
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,RED DRUM,69080,25.2
FINAL,2000,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,475187,25.1
FINAL,2000,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,12477,77.2
FINAL,2000,MARCH/APRIL,ALABAMA,RED DRUM,19345,35.9
FINAL,2000,MARCH/APRIL,FLORIDA,RED DRUM,75017,24.1
FINAL,2000,MARCH/APRIL,LOUISIANA,RED DRUM,874727,13.9
FINAL,2000,MARCH/APRIL,MISSISSIPPI,RED DRUM,15568,56.3
FINAL,2000,MAY/JUNE,ALABAMA,RED DRUM,12709,35.1
FINAL,2000,MAY/JUNE,FLORIDA,RED DRUM,125988,17.1
FINAL,2000,MAY/JUNE,LOUISIANA,RED DRUM,684748,16
FINAL,2000,MAY/JUNE,MISSISSIPPI,RED DRUM,25927,35.7
FINAL,2000,JULY/AUGUST,ALABAMA,RED DRUM,5857,49.7
FINAL,2000,JULY/AUGUST,FLORIDA,RED DRUM,111061,22.2
FINAL,2000,JULY/AUGUST,LOUISIANA,RED DRUM,864322,15.6
FINAL,2000,JULY/AUGUST,MISSISSIPPI,RED DRUM,9705,41.9
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,25501,33.8
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,139814,19.8
FINAL,2000,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,917684,13.1
FINAL,2000,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,43086,26.2
FINAL,2000,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,98620,33.6
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,101189,24.9
FINAL,2000,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,1432119,14.7
FINAL,2000,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,6580,71.3
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,RED DRUM,37657,34.3
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,RED DRUM,60797,25.9
FINAL,2001,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,869950,18.2
FINAL,2001,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,1285,79.6
FINAL,2001,MARCH/APRIL,ALABAMA,RED DRUM,41601,35.3
FINAL,2001,MARCH/APRIL,FLORIDA,RED DRUM,97021,22.3
FINAL,2001,MARCH/APRIL,LOUISIANA,RED DRUM,661166,16.1
FINAL,2001,MARCH/APRIL,MISSISSIPPI,RED DRUM,6954,55.6
FINAL,2001,MAY/JUNE,ALABAMA,RED DRUM,72337,30.8
FINAL,2001,MAY/JUNE,FLORIDA,RED DRUM,69298,20.6
FINAL,2001,MAY/JUNE,LOUISIANA,RED DRUM,909034,18.1
FINAL,2001,MAY/JUNE,MISSISSIPPI,RED DRUM,53597,33
FINAL,2001,JULY/AUGUST,ALABAMA,RED DRUM,18113,33
FINAL,2001,JULY/AUGUST,FLORIDA,RED DRUM,65125,17.9
FINAL,2001,JULY/AUGUST,LOUISIANA,RED DRUM,928495,14
FINAL,2001,JULY/AUGUST,MISSISSIPPI,RED DRUM,20003,38.4
FINAL,2001,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,38036,43.9
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,117334,21.7
FINAL,2001,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,1048059,14.7
FINAL,2001,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,12079,31.3
FINAL,2001,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,63330,33.8
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,88952,20.3
FINAL,2001,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,829096,20
FINAL,2001,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,16743,84.9
FINAL,2002,JANUARY/FEBRUARY,ALABAMA,RED DRUM,27476,38.3
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,RED DRUM,64465,40.3
FINAL,2002,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,782712,31
FINAL,2002,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,9336,32.7
FINAL,2002,MARCH/APRIL,ALABAMA,RED DRUM,11958,54.6
FINAL,2002,MARCH/APRIL,FLORIDA,RED DRUM,103915,17.4
FINAL,2002,MARCH/APRIL,LOUISIANA,RED DRUM,563284,18.6
FINAL,2002,MARCH/APRIL,MISSISSIPPI,RED DRUM,17543,92.5
FINAL,2002,MAY/JUNE,ALABAMA,RED DRUM,20729,45.8
FINAL,2002,MAY/JUNE,FLORIDA,RED DRUM,53367,18.8
FINAL,2002,MAY/JUNE,LOUISIANA,RED DRUM,565678,17.2
FINAL,2002,MAY/JUNE,MISSISSIPPI,RED DRUM,16407,43.7
FINAL,2002,JULY/AUGUST,ALABAMA,RED DRUM,15293,51.4
FINAL,2002,JULY/AUGUST,FLORIDA,RED DRUM,70016,18.2
FINAL,2002,JULY/AUGUST,LOUISIANA,RED DRUM,672091,17.3
FINAL,2002,JULY/AUGUST,MISSISSIPPI,RED DRUM,32037,47.5
FINAL,2002,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,43716,32
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,138446,13.4
FINAL,2002,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,1044566,21.2
FINAL,2002,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,37368,62.1
FINAL,2002,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,72098,32.2
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,109438,28.9
FINAL,2002,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,916257,18.5
FINAL,2002,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,44085,67.2
FINAL,2003,JANUARY/FEBRUARY,ALABAMA,RED DRUM,49477,34.8
