Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1992,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,40837,63.7,0
FINAL,1992,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,7158,44.4,0
FINAL,1992,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,88435,18.3,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,58914,49.1,0
FINAL,1992,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,12450,49.3,0
FINAL,1992,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,160046,39.9,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,23916,39.9,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,21127,40.2,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,6228,50.9,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,111984,19.7,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,29012,32.9,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,5220,57.3,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,5138,80.9,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,82141,34.4,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,14965,35.4,0
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,4134,90.9,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,32148,70.7,0
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,12343,95.4,0
FINAL,1993,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,3406,56.8,0
FINAL,1993,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,7910,71.7,0
FINAL,1993,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,32313,26.1,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,16517,49.1,0
FINAL,1993,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,97134,61.6,0
FINAL,1993,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,1042,81.8,0
FINAL,1993,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,84286,21,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,29886,33,0
FINAL,1993,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,67012,57,0
FINAL,1993,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,1885,71.1,0
FINAL,1993,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,58522,29.6,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,31125,62.9,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,14539,54.1,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,3571,54.7,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,126987,31.4,0
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,5357,61.1,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,3054,49.2,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,138847,87.4,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,75613,36.8,0
