Estimate Status,Year,Wave,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,2000,NOVEMBER/DECEMBER,ATLANTIC CROAKER,71138,46.5,0
FINAL,2001,JANUARY/FEBRUARY,ATLANTIC CROAKER,25559,42.6,0
FINAL,2001,MARCH/APRIL,ATLANTIC CROAKER,53106,83,0
FINAL,2001,MAY/JUNE,ATLANTIC CROAKER,47954,53.7,0
FINAL,2001,JULY/AUGUST,ATLANTIC CROAKER,53740,32.4,0
FINAL,2001,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,199619,31.1,0
FINAL,2001,NOVEMBER/DECEMBER,ATLANTIC CROAKER,301347,39.9,0
FINAL,2002,JANUARY/FEBRUARY,ATLANTIC CROAKER,28479,40.5,0
FINAL,2002,MARCH/APRIL,ATLANTIC CROAKER,38392,53.2,0
FINAL,2002,MAY/JUNE,ATLANTIC CROAKER,36653,38,0
FINAL,2002,JULY/AUGUST,ATLANTIC CROAKER,40279,49.9,0
FINAL,2002,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,83917,53.4,0
FINAL,2002,NOVEMBER/DECEMBER,ATLANTIC CROAKER,82582,47.5,0
FINAL,2003,JANUARY/FEBRUARY,ATLANTIC CROAKER,4344,57.8,0
FINAL,2003,MARCH/APRIL,ATLANTIC CROAKER,78537,51.6,0
FINAL,2003,MAY/JUNE,ATLANTIC CROAKER,36339,57.8,0
FINAL,2003,JULY/AUGUST,ATLANTIC CROAKER,84987,51,0
FINAL,2003,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,54049,28.5,0
FINAL,2003,NOVEMBER/DECEMBER,ATLANTIC CROAKER,21180,74.4,0
FINAL,2004,JANUARY/FEBRUARY,ATLANTIC CROAKER,8533,86.1,0
FINAL,2004,MARCH/APRIL,ATLANTIC CROAKER,23232,55.3,0
FINAL,2004,MAY/JUNE,ATLANTIC CROAKER,83577,44.5,0
FINAL,2004,JULY/AUGUST,ATLANTIC CROAKER,40793,35.6,0
FINAL,2004,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,135040,38.4,0
FINAL,2004,NOVEMBER/DECEMBER,ATLANTIC CROAKER,63173,36,0
FINAL,2005,JANUARY/FEBRUARY,ATLANTIC CROAKER,1951,95.9,0
FINAL,2005,MARCH/APRIL,ATLANTIC CROAKER,3837,59.6,0
FINAL,2005,MAY/JUNE,ATLANTIC CROAKER,15796,50.8,0
FINAL,2005,JULY/AUGUST,ATLANTIC CROAKER,45028,43.6,0
FINAL,2005,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,66368,61.8,0
FINAL,2005,NOVEMBER/DECEMBER,ATLANTIC CROAKER,102827,63.8,0
FINAL,2006,JANUARY/FEBRUARY,ATLANTIC CROAKER,43312,78.3,0
FINAL,2006,MARCH/APRIL,ATLANTIC CROAKER,5502,50.5,0
FINAL,2006,MAY/JUNE,ATLANTIC CROAKER,7338,72.3,0
FINAL,2006,JULY/AUGUST,ATLANTIC CROAKER,25342,41,0
FINAL,2006,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,149744,40.9,0
FINAL,2006,NOVEMBER/DECEMBER,ATLANTIC CROAKER,19952,45.6,0
FINAL,2007,JANUARY/FEBRUARY,ATLANTIC CROAKER,6823,46.6,0
FINAL,2007,MARCH/APRIL,ATLANTIC CROAKER,38934,58.2,0
FINAL,2007,MAY/JUNE,ATLANTIC CROAKER,53710,42.5,0
FINAL,2007,JULY/AUGUST,ATLANTIC CROAKER,260310,74,0
FINAL,2007,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,49877,60.1,0
FINAL,2007,NOVEMBER/DECEMBER,ATLANTIC CROAKER,74866,50.4,0
FINAL,2008,JANUARY/FEBRUARY,ATLANTIC CROAKER,22454,64.5,0
FINAL,2008,MARCH/APRIL,ATLANTIC CROAKER,42553,59.3,0
FINAL,2008,MAY/JUNE,ATLANTIC CROAKER,21102,41.8,0
FINAL,2008,JULY/AUGUST,ATLANTIC CROAKER,14166,37.8,0
FINAL,2008,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,162335,39.9,0
FINAL,2008,NOVEMBER/DECEMBER,ATLANTIC CROAKER,39489,41.8,0
FINAL,2009,JANUARY/FEBRUARY,ATLANTIC CROAKER,35824,77.9,0
FINAL,2009,MARCH/APRIL,ATLANTIC CROAKER,178067,47.6,0
FINAL,2009,MAY/JUNE,ATLANTIC CROAKER,45116,40.5,0
FINAL,2009,JULY/AUGUST,ATLANTIC CROAKER,88674,38.1,0
FINAL,2009,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,141211,30.6,0
FINAL,2009,NOVEMBER/DECEMBER,ATLANTIC CROAKER,58693,54.7,0
FINAL,2010,JANUARY/FEBRUARY,ATLANTIC CROAKER,21992,76.7,0
FINAL,2010,MARCH/APRIL,ATLANTIC CROAKER,19645,67.9,0
FINAL,2010,MAY/JUNE,ATLANTIC CROAKER,37924,41.3,0
FINAL,2010,JULY/AUGUST,ATLANTIC CROAKER,41588,33.6,0
FINAL,2010,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,26423,32.3,0
FINAL,2010,NOVEMBER/DECEMBER,ATLANTIC CROAKER,20828,43.6,0
FINAL,2011,JANUARY/FEBRUARY,ATLANTIC CROAKER,3651,98.2,0
FINAL,2011,MARCH/APRIL,ATLANTIC CROAKER,6352,52.2,0
FINAL,2011,MAY/JUNE,ATLANTIC CROAKER,66843,57.4,0
FINAL,2011,JULY/AUGUST,ATLANTIC CROAKER,66220,37.7,0
FINAL,2011,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,320191,35.1,0
FINAL,2011,NOVEMBER/DECEMBER,ATLANTIC CROAKER,54317,46.1,0
FINAL,2012,JANUARY/FEBRUARY,ATLANTIC CROAKER,9027,47.4,0
FINAL,2012,MARCH/APRIL,ATLANTIC CROAKER,22264,47.3,0
FINAL,2012,MAY/JUNE,ATLANTIC CROAKER,56688,45,0
FINAL,2012,JULY/AUGUST,ATLANTIC CROAKER,225666,41.9,0
