year,wave,state,area,harvest.n,harvest.lb
2017,3,9,LIS,0,0
2017,4,9,LIS,17389,57892
2017,5,9,LIS,121180,501786
2017,6,9,LIS,66810,308273
2018,2,9,LIS,0,0
2018,3,9,LIS,0,0
2018,4,9,LIS,4436,20177
2018,5,9,LIS,45540,154085
2018,6,9,LIS,24554,121499
2019,3,9,LIS,617,2042
2019,4,9,LIS,2306,8940
2019,5,9,LIS,169329,679285
2019,6,9,LIS,331276,1443409
1984,3,36,LIS,121277,245198
1984,4,36,LIS,13932,27692
1984,5,36,LIS,375020,797364
1984,6,36,LIS,327722,529463
1985,3,36,LIS,281983,884769
1985,4,36,LIS,70423,154975
1985,5,36,LIS,1458970,2995158
1985,6,36,LIS,819227,1498559
1986,2,36,LIS,41020,120290
1986,3,36,LIS,545191,1161999
1986,4,36,LIS,86083,141987
1986,5,36,LIS,860489,2216353
1986,6,36,LIS,171922,765400
1987,3,36,LIS,196998,382184
1987,4,36,LIS,18769,24865
1987,5,36,LIS,908457,2384515
1987,6,36,LIS,300310,1063876
1988,2,36,LIS,24197,50036
1988,3,36,LIS,618111,1271218
1988,4,36,LIS,44296,122903
1988,5,36,LIS,679966,1574266
1989,3,36,LIS,317358,937453
1989,4,36,LIS,120649,197964
1989,5,36,LIS,388980,702701
1989,6,36,LIS,71128,163104
1990,2,36,LIS,32345,73413
1990,3,36,LIS,397134,883867
1990,4,36,LIS,38333,73208
1990,5,36,LIS,707797,1547247
1990,6,36,LIS,547847,1558103
1991,2,36,LIS,9417,28117
1991,3,36,LIS,212730,521447
1991,4,36,LIS,39233,85608
1991,5,36,LIS,770679,1471866
1991,6,36,LIS,435654,1999211
1992,2,36,LIS,88430,547891
1992,3,36,LIS,291699,958775
1992,4,36,LIS,43462,75718
1992,5,36,LIS,268575,495549
1992,6,36,LIS,99231,293884
1993,2,36,LIS,1574,3089
1993,3,36,LIS,84093,266487
1993,4,36,LIS,10666,22036
1993,5,36,LIS,263143,693461
1993,6,36,LIS,274467,881271
1994,2,36,LIS,0,0
1994,3,36,LIS,10521,23127
1994,4,36,LIS,7893,15243
1994,5,36,LIS,85819,171703
1994,6,36,LIS,323372,715387
1995,3,36,LIS,117352,281820
1995,4,36,LIS,15365,17381
1995,5,36,LIS,21706,29273
1995,6,36,LIS,40578,220505
1984,3,9,LIS,81545,192115
1984,4,9,LIS,177367,530701
1984,5,9,LIS,242918,699429
1984,6,9,LIS,180628,555732
1985,2,9,LIS,5119,20496
1985,3,9,LIS,104155,293765
1985,4,9,LIS,35986,51505
1985,5,9,LIS,93433,198486
1985,6,9,LIS,51854,212156
1986,2,9,LIS,,
1986,3,9,LIS,214704,549860
1986,4,9,LIS,91712,134915
1986,5,9,LIS,28100,39328
1986,6,9,LIS,346928,890940
1987,3,9,LIS,254056,983005
1987,4,9,LIS,43230,108279
1987,5,9,LIS,139416,554276
