Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1992,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,316932,22.7,0
FINAL,1992,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,727405,15.1,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,15104,39.9,0
FINAL,1992,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,3188,103.9,0
FINAL,1992,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,266328,35.7,0
FINAL,1992,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,1069104,16.2,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,30831,40.9,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,29884,57.9,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,292906,19.1,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,648674,15.1,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,23997,28.1,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,14760,53.7,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,1054038,21.5,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,2178676,18.3,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SPOTTED SEATROUT,105584,32.4,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,456524,24.9,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,SPOTTED SEATROUT,316111,32.8,0
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,SPOTTED SEATROUT,28843,73.8,0
FINAL,1993,MARCH/APRIL,ALABAMA,SPOTTED SEATROUT,5555,47.2,0
FINAL,1993,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,482964,24.9,0
FINAL,1993,MARCH/APRIL,LOUISIANA,SPOTTED SEATROUT,515127,45.7,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SPOTTED SEATROUT,6438,73.2,0
FINAL,1993,MAY/JUNE,ALABAMA,SPOTTED SEATROUT,189795,89.1,0
FINAL,1993,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,450147,21,0
FINAL,1993,MAY/JUNE,LOUISIANA,SPOTTED SEATROUT,964585,20.9,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,SPOTTED SEATROUT,35580,30.5,0
FINAL,1993,JULY/AUGUST,ALABAMA,SPOTTED SEATROUT,47982,50.2,0
FINAL,1993,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,148805,21.9,0
FINAL,1993,JULY/AUGUST,LOUISIANA,SPOTTED SEATROUT,996086,24,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,SPOTTED SEATROUT,32289,38.9,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,SPOTTED SEATROUT,18736,62.8,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,187698,24.7,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,SPOTTED SEATROUT,1100400,23.5,0
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,SPOTTED SEATROUT,72815,59.8,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,SPOTTED SEATROUT,24982,42,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,591422,25.9,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,SPOTTED SEATROUT,948337,20.9,0
