Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1992,JULY/AUGUST,GEORGIA,KING MACKEREL,155819,48.2,0
FINAL,1992,JULY/AUGUST,MARYLAND,KING MACKEREL,19703,87.7,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,204476,21.6,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,129452,55.5,0
FINAL,1992,JULY/AUGUST,VIRGINIA,KING MACKEREL,16033,65.5,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,210420,24.2,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,639,86.5,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,33071,79,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,236912,26.5,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,106526,75.6,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,213418,35.1,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,60242,71.4,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,175719,70.6,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,355779,28,0
FINAL,1993,MARCH/APRIL,FLORIDA,KING MACKEREL,201127,39,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,4825,94.4,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,22875,76.2,0
FINAL,1993,MAY/JUNE,FLORIDA,KING MACKEREL,293820,30.5,0
FINAL,1993,MAY/JUNE,GEORGIA,KING MACKEREL,498,87.3,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,129676,28.3,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,67766,58.6,0
FINAL,1993,JULY/AUGUST,FLORIDA,KING MACKEREL,594919,22,0
FINAL,1993,JULY/AUGUST,GEORGIA,KING MACKEREL,7153,37.3,0
FINAL,1993,JULY/AUGUST,MARYLAND,KING MACKEREL,20851,79.6,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,158524,23,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,60326,64.1,0
FINAL,1993,JULY/AUGUST,VIRGINIA,KING MACKEREL,4500,99.2,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,441342,25,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,585,125.9,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,116456,31.6,0
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,9305,80.6,0
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,29467,80.9,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,307312,33.4,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,146059,43.7,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,192365,32.1,0
FINAL,1994,MARCH/APRIL,FLORIDA,KING MACKEREL,85145,40.9,0
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,198213,50.7,0
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,145939,30.2,0
FINAL,1994,MAY/JUNE,FLORIDA,KING MACKEREL,359072,25.8,0
FINAL,1994,MAY/JUNE,GEORGIA,KING MACKEREL,27308,84.2,0
FINAL,1994,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,178147,25.5,0
FINAL,1994,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,228096,62.6,0
FINAL,1994,MAY/JUNE,VIRGINIA,KING MACKEREL,12795,102.5,0
FINAL,1994,JULY/AUGUST,FLORIDA,KING MACKEREL,492566,32.3,0
FINAL,1994,JULY/AUGUST,GEORGIA,KING MACKEREL,21267,54.4,0
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,132688,28.5,0
FINAL,1994,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,42828,34.2,0
FINAL,1994,JULY/AUGUST,VIRGINIA,KING MACKEREL,1644,100.3,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,168342,37.3,0
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,109229,23.4,0
FINAL,1994,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,16422,74.2,0
FINAL,1994,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,13845,98.6,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,174590,31.2,0
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,157256,40,0
FINAL,1994,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,104256,68.5,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,181625,33.7,0
FINAL,1995,MARCH/APRIL,FLORIDA,KING MACKEREL,266429,33.7,0
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,55901,59.4,0
FINAL,1995,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,8209,102.2,0
FINAL,1995,MAY/JUNE,FLORIDA,KING MACKEREL,468353,21.5,0
FINAL,1995,MAY/JUNE,GEORGIA,KING MACKEREL,20715,60.4,0
FINAL,1995,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,81836,34.6,0
FINAL,1995,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,17704,57.1,0
FINAL,1995,JULY/AUGUST,FLORIDA,KING MACKEREL,360136,25,0
FINAL,1995,JULY/AUGUST,GEORGIA,KING MACKEREL,35224,69.1,0
FINAL,1995,JULY/AUGUST,MARYLAND,KING MACKEREL,8150,103.9,0
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,183308,21.4,0
FINAL,1995,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,165467,53.6,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,181858,46.1,0
FINAL,1995,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,14381,96.9,0
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,163988,24.7,0
FINAL,1995,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,7888,98.5,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,443585,30.5,0
FINAL,1995,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,77836,50.4,0
FINAL,1995,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,37602,71.2,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,179590,52.7,0
FINAL,1996,MARCH/APRIL,FLORIDA,KING MACKEREL,206218,33.3,0
FINAL,1996,MARCH/APRIL,GEORGIA,KING MACKEREL,43155,73.3,0
FINAL,1996,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,95627,47.9,0
FINAL,1996,MARCH/APRIL,VIRGINIA,KING MACKEREL,23832,81,0
FINAL,1996,MAY/JUNE,FLORIDA,KING MACKEREL,505032,26.1,0
FINAL,1996,MAY/JUNE,GEORGIA,KING MACKEREL,37655,63.4,0
FINAL,1996,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,169184,42.5,0
FINAL,1996,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,77506,35.6,0
FINAL,1996,MAY/JUNE,VIRGINIA,KING MACKEREL,6780,107,0
FINAL,1996,JULY/AUGUST,FLORIDA,KING MACKEREL,352993,21.7,0
FINAL,1996,JULY/AUGUST,GEORGIA,KING MACKEREL,14245,94.1,0
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,48625,29.3,0
FINAL,1996,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,17509,71.5,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,103250,42.1,0
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,142963,29.2,0
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,36302,64.9,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,195880,34.5,0
FINAL,1996,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,41300,43.8,0
FINAL,1996,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,15887,97.9,0
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,249745,34.3,0
FINAL,1997,MARCH/APRIL,FLORIDA,KING MACKEREL,282405,30,0
FINAL,1997,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,252041,30.7,0
FINAL,1997,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,4530,76.1,0
FINAL,1997,MAY/JUNE,FLORIDA,KING MACKEREL,576737,19.1,0
FINAL,1997,MAY/JUNE,GEORGIA,KING MACKEREL,6190,75.7,0
FINAL,1997,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,140537,35.9,0
FINAL,1997,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,409199,62.4,0
FINAL,1997,JULY/AUGUST,FLORIDA,KING MACKEREL,608538,34.9,0
FINAL,1997,JULY/AUGUST,GEORGIA,KING MACKEREL,6224,96.6,0
FINAL,1997,JULY/AUGUST,MARYLAND,KING MACKEREL,23571,71.4,0
FINAL,1997,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,96053,24.9,0
FINAL,1997,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,110608,67.3,0
FINAL,1997,JULY/AUGUST,VIRGINIA,KING MACKEREL,2448,72.9,0
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,70248,34.8,0
FINAL,1997,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,1188,52.7,0
FINAL,1997,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,229747,21.9,0
FINAL,1997,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,67578,58.4,0
FINAL,1997,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,20870,59.3,0
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,462894,26.5,0
FINAL,1997,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,97159,47.1,0
FINAL,1997,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,4904,86.9,0
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,158915,30.3,0
FINAL,1998,MARCH/APRIL,FLORIDA,KING MACKEREL,383454,26.8,0
FINAL,1998,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,104957,46.5,0
FINAL,1998,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,204,107.9,0
FINAL,1998,MAY/JUNE,FLORIDA,KING MACKEREL,517578,21,0
FINAL,1998,MAY/JUNE,GEORGIA,KING MACKEREL,25489,86.3,0
FINAL,1998,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,96941,34,0
FINAL,1998,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,73684,64.4,0
FINAL,1998,MAY/JUNE,VIRGINIA,KING MACKEREL,16036,74.5,0
FINAL,1998,JULY/AUGUST,FLORIDA,KING MACKEREL,372021,20.2,0
FINAL,1998,JULY/AUGUST,GEORGIA,KING MACKEREL,5880,96.8,0
FINAL,1998,JULY/AUGUST,MARYLAND,KING MACKEREL,13256,102.9,0
FINAL,1998,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,75809,41.1,0
FINAL,1998,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,18791,68,0
FINAL,1998,JULY/AUGUST,VIRGINIA,KING MACKEREL,2644,100.8,0
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,104977,28.4,0
FINAL,1998,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,413,96.8,0
FINAL,1998,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,99946,26.9,0
FINAL,1998,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,68182,51.9,0
FINAL,1998,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,8557,91.6,0
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,551628,26.5,0
FINAL,1998,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,150215,42.7,0
FINAL,1998,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,24417,53.8,0
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,294887,25.9,0
FINAL,1999,MARCH/APRIL,FLORIDA,KING MACKEREL,583032,21.5,0
FINAL,1999,MARCH/APRIL,GEORGIA,KING MACKEREL,1221,106.2,0
FINAL,1999,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,44157,46.8,0
FINAL,1999,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,3341,96.4,0
FINAL,1999,MAY/JUNE,FLORIDA,KING MACKEREL,913460,18.4,0
FINAL,1999,MAY/JUNE,GEORGIA,KING MACKEREL,2434,75.3,0
FINAL,1999,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,93478,58.7,0
FINAL,1999,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,27529,47.6,0
FINAL,1999,JULY/AUGUST,DELAWARE,KING MACKEREL,2347,101.6,0
FINAL,1999,JULY/AUGUST,FLORIDA,KING MACKEREL,537757,19.7,0
FINAL,1999,JULY/AUGUST,GEORGIA,KING MACKEREL,45550,71.3,0
FINAL,1999,JULY/AUGUST,MARYLAND,KING MACKEREL,16031,67.7,0
FINAL,1999,JULY/AUGUST,NEW JERSEY,KING MACKEREL,3170,95.2,0
FINAL,1999,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,168587,27.1,0
FINAL,1999,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,3670,65.9,0
FINAL,1999,JULY/AUGUST,VIRGINIA,KING MACKEREL,2009,99,0
FINAL,1999,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,164013,29,0
FINAL,1999,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,319,97.7,0
FINAL,1999,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,97940,36,0
FINAL,1999,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,5161,80.3,0
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,210648,41.1,0
FINAL,1999,NOVEMBER/DECEMBER,GEORGIA,KING MACKEREL,52927,105.4,0
FINAL,1999,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,65068,62.1,0
FINAL,1999,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,62048,71.4,0
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,274253,31.2,0
FINAL,2000,MARCH/APRIL,FLORIDA,KING MACKEREL,582400,23.7,0
FINAL,2000,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,30703,55.9,0
FINAL,2000,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,7078,91.9,0
FINAL,2000,MAY/JUNE,FLORIDA,KING MACKEREL,645604,20.9,0
FINAL,2000,MAY/JUNE,GEORGIA,KING MACKEREL,115169,41.6,0
FINAL,2000,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,217420,39.8,0
FINAL,2000,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,15438,52.6,0
FINAL,2000,MAY/JUNE,VIRGINIA,KING MACKEREL,159,88.7,0
FINAL,2000,JULY/AUGUST,FLORIDA,KING MACKEREL,807795,15.7,0
FINAL,2000,JULY/AUGUST,GEORGIA,KING MACKEREL,46129,47.2,0
FINAL,2000,JULY/AUGUST,MARYLAND,KING MACKEREL,144207,68.9,0
FINAL,2000,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,90072,26.1,0
FINAL,2000,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,83972,55.6,0
FINAL,2000,JULY/AUGUST,VIRGINIA,KING MACKEREL,17741,96.4,0
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,262205,19.2,0
FINAL,2000,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,324,99.8,0
FINAL,2000,SEPTEMBER/OCTOBER,MASSACHUSETTS,KING MACKEREL,0,.,1044
FINAL,2000,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,371740,26.4,0
FINAL,2000,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,38155,43.6,0
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,111331,34.5,0
FINAL,2000,NOVEMBER/DECEMBER,GEORGIA,KING MACKEREL,96,101,0
