Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,314495,20,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,246088,39.5,0
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,4164,86.7,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,0,.,245844
FINAL,1992,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,187932,34.5,0
FINAL,1992,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,42390,33.3,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,17110,37.2,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,1724,109.6,0
FINAL,1992,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,37221,44,0
FINAL,1992,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,219510,31.7,0
FINAL,1992,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,24590,43.7,0
FINAL,1992,MAY/JUNE,MARYLAND,SPOTTED SEATROUT,1343,101.5,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,129069,35.1,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,9639,60.7,0
FINAL,1992,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,12562,59.2,0
FINAL,1992,JULY/AUGUST,DELAWARE,SPOTTED SEATROUT,0,.,0
FINAL,1992,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,87082,32.5,0
FINAL,1992,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,38788,27.8,0
FINAL,1992,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,5879,101.3,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,38612,44.4,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,11210,43,0
FINAL,1992,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,3634,84.8,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,40515,53.6,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,87221,30.1,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,SPOTTED SEATROUT,1462,70.1,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,299463,38.5,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,18498,44.3,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,28348,48.7,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,130510,30.2,0
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,205016,21.9,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,146584,40.5,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,232795,44,0
FINAL,1992,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,15594,89.7,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,71830,37.1,0
FINAL,1993,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,30387,41.5,0
FINAL,1993,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,8778,69,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,13342,54.4,0
FINAL,1993,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,9154,61,0
FINAL,1993,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,52575,38.5,0
FINAL,1993,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,27015,64.6,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,69382,33.8,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,18907,59.8,0
FINAL,1993,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,11463,95.9,0
FINAL,1993,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,68507,45.8,0
FINAL,1993,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,99294,29.7,0
FINAL,1993,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,3978,87.2,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,38086,35.3,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,13254,48.3,0
FINAL,1993,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,0,.,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,79799,48.8,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,104243,25.2,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,64232,24.9,0
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,55671,70.4,0
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,148392,37.2,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,469184,30.5,0
FINAL,1993,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,267495,23.6,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,217359,27.3,0
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,318037,33.8,0
FINAL,1993,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,53794,85.6,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,107962,39,0
FINAL,1994,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,113665,33.9,0
FINAL,1994,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,36590,57.7,0
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,17472,65.9,0
FINAL,1994,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,51385,36.1,0
FINAL,1994,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,25991,54.7,0
FINAL,1994,MAY/JUNE,MARYLAND,SPOTTED SEATROUT,41484,87.7,0
FINAL,1994,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,49769,33,0
FINAL,1994,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,11856,74.4,0
FINAL,1994,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,11990,39.8,0
FINAL,1994,JULY/AUGUST,DELAWARE,SPOTTED SEATROUT,269,97.7,0
FINAL,1994,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,33031,32.9,0
FINAL,1994,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,43574,35.6,0
FINAL,1994,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,4654,80.3,0
