year,wave,start.date,end.date,ndays,wavelength
2010,1,01/01/2010,02/28/2010,58,59
2010,2,03/01/2010,04/30/2010,60,61
2010,3,05/01/2010,06/30/2010,60,61
2010,4,07/01/2010,08/31/2010,61,62
2010,5,09/01/2010,10/31/2010,60,61
2010,6,11/01/2010,12/31/2010,60,61
2011,1,01/01/2011,02/28/2011,58,59
2011,2,03/01/2011,04/30/2011,60,61
2011,3,05/01/2011,06/30/2011,60,61
2011,4,07/01/2011,08/31/2011,61,62
2011,5,09/01/2011,10/31/2011,60,61
2011,6,11/01/2011,12/31/2011,60,61
2012,1,01/01/2012,02/29/2012,59,60
2012,2,03/01/2012,04/30/2012,60,61
2012,3,05/01/2012,06/30/2012,60,61
2012,4,07/01/2012,08/31/2012,61,62
2012,5,09/01/2012,10/31/2012,60,61
2012,6,11/01/2012,12/31/2012,60,61
2013,1,01/01/2013,02/28/2013,58,59
2013,2,03/01/2013,04/30/2013,60,61
2013,3,05/01/2013,06/30/2013,60,61
2013,4,07/01/2013,08/31/2013,61,62
2013,5,09/01/2013,10/31/2013,60,61
2013,6,11/01/2013,12/31/2013,60,61
2014,1,01/01/2014,02/28/2014,58,59
2014,2,03/01/2014,04/30/2014,60,61
2014,3,05/01/2014,06/30/2014,60,61
2014,4,07/01/2014,08/31/2014,61,62
2014,5,09/01/2014,10/31/2014,60,61
2014,6,11/01/2014,12/31/2014,60,61
2015,1,01/01/2015,02/28/2015,58,59
2015,2,03/01/2015,04/30/2015,60,61
2015,3,05/01/2015,06/30/2015,60,61
2015,4,07/01/2015,08/31/2015,61,62
2015,5,09/01/2015,10/31/2015,60,61
2015,6,11/01/2015,12/31/2015,60,61
2016,1,01/01/2016,02/29/2016,59,60
2016,2,03/01/2016,04/30/2016,60,61
2016,3,05/01/2016,06/30/2016,60,61
2016,4,07/01/2016,08/31/2016,61,62
2016,5,09/01/2016,10/31/2016,60,61
2016,6,11/01/2016,12/31/2016,60,61
2017,1,01/01/2017,02/28/2017,58,59
2017,2,03/01/2017,04/30/2017,60,61
2017,3,05/01/2017,06/30/2017,60,61
2017,4,07/01/2017,08/31/2017,61,62
2017,5,09/01/2017,10/31/2017,60,61
2017,6,11/01/2017,12/31/2017,60,61
2018,1,01/01/2018,02/28/2018,58,59
2018,2,03/01/2018,04/30/2018,60,61
2018,3,05/01/2018,06/30/2018,60,61
2018,4,07/01/2018,08/31/2018,61,62
2018,5,09/01/2018,10/31/2018,60,61
2018,6,11/01/2018,12/31/2018,60,61
