ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,Comments,imputed
,2000,6,NY,9999,1,9999,King_Mackerel,01-11-00,31-12-00,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2001,1,NY,9999,1,9999,King_Mackerel,01-01-01,28-02-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2001,2,NY,9999,1,9999,King_Mackerel,01-03-01,30-04-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2001,3,NY,9999,1,9999,King_Mackerel,01-05-01,30-06-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2001,4,NY,9999,1,9999,King_Mackerel,01-07-01,31-08-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2001,5,NY,9999,1,9999,King_Mackerel,01-09-01,31-10-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2001,6,NY,9999,1,9999,King_Mackerel,01-11-01,31-12-01,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,1,NY,9999,1,9999,King_Mackerel,01-01-02,28-02-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,2,NY,9999,1,9999,King_Mackerel,01-03-02,30-04-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,3,NY,9999,1,9999,King_Mackerel,01-05-02,30-06-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,4,NY,9999,1,9999,King_Mackerel,01-07-02,31-08-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,5,NY,9999,1,9999,King_Mackerel,01-09-02,31-10-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2002,6,NY,9999,1,9999,King_Mackerel,01-11-02,31-12-02,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,1,NY,9999,1,9999,King_Mackerel,01-01-03,28-02-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,2,NY,9999,1,9999,King_Mackerel,01-03-03,30-04-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,3,NY,9999,1,9999,King_Mackerel,01-05-03,30-06-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,4,NY,9999,1,9999,King_Mackerel,01-07-03,31-08-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,5,NY,9999,1,9999,King_Mackerel,01-09-03,31-10-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2003,6,NY,9999,1,9999,King_Mackerel,01-11-03,31-12-03,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2004,1,NY,9999,1,9999,King_Mackerel,01-01-04,29-02-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2004,2,NY,9999,1,9999,King_Mackerel,01-03-04,30-04-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2004,3,NY,9999,1,9999,King_Mackerel,01-05-04,30-06-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2004,4,NY,9999,1,9999,King_Mackerel,01-07-04,31-08-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2004,5,NY,9999,1,9999,King_Mackerel,01-09-04,31-10-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2004,6,NY,9999,1,9999,King_Mackerel,01-11-04,31-12-04,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,1,NY,9999,1,9999,King_Mackerel,01-01-05,28-02-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,2,NY,9999,1,9999,King_Mackerel,01-03-05,30-04-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,3,NY,9999,1,9999,King_Mackerel,01-05-05,30-06-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,4,NY,9999,1,9999,King_Mackerel,01-07-05,31-08-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,5,NY,9999,1,9999,King_Mackerel,01-09-05,31-10-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2005,6,NY,9999,1,9999,King_Mackerel,01-11-05,31-12-05,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2006,1,NY,9999,1,9999,King_Mackerel,01-01-06,28-02-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2006,2,NY,9999,1,9999,King_Mackerel,01-03-06,30-04-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2006,3,NY,9999,1,9999,King_Mackerel,01-05-06,30-06-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2006,4,NY,9999,1,9999,King_Mackerel,01-07-06,31-08-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2006,5,NY,9999,1,9999,King_Mackerel,01-09-06,31-10-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2006,6,NY,9999,1,9999,King_Mackerel,01-11-06,31-12-06,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,1
,2007,1,NY,9999,1,9999,King_Mackerel,01-01-07,28-02-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2007,2,NY,9999,1,9999,King_Mackerel,01-03-07,30-04-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2007,3,NY,9999,1,9999,King_Mackerel,01-05-07,30-06-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2007,4,NY,9999,1,9999,King_Mackerel,01-07-07,31-08-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2007,5,NY,9999,1,9999,King_Mackerel,01-09-07,31-10-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2007,6,NY,9999,1,9999,King_Mackerel,01-11-07,31-12-07,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,1,NY,9999,1,9999,King_Mackerel,01-01-08,29-02-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,2,NY,9999,1,9999,King_Mackerel,01-03-08,30-04-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,3,NY,9999,1,9999,King_Mackerel,01-05-08,30-06-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,4,NY,9999,1,9999,King_Mackerel,01-07-08,31-08-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,5,NY,9999,1,9999,King_Mackerel,01-09-08,31-10-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2008,6,NY,9999,1,9999,King_Mackerel,01-11-08,31-12-08,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,1,NY,9999,1,9999,King_Mackerel,01-01-09,28-02-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,2,NY,9999,1,9999,King_Mackerel,01-03-09,30-04-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,3,NY,9999,1,9999,King_Mackerel,01-05-09,30-06-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,4,NY,9999,1,9999,King_Mackerel,01-07-09,31-08-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,5,NY,9999,1,9999,King_Mackerel,01-09-09,31-10-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
,2009,6,NY,9999,1,9999,King_Mackerel,01-11-09,31-12-09,,3,9999,9999,,9999,,23,1,,9999,,9999,,9999,0,0,0,,0
